# id	category	category_zh	ar	label_en	label_zh	prefix
# Columns are TAB-separated. prefix is English art-direction injected before user content.
icon	brand	品牌识别	1:1	App icon	App图标	App icon design, rounded square, flat vector, single clear metaphor, iOS/Android store ready, crisp edges, no text, no watermark, no fake UI chrome.
logo	brand	品牌识别	16:9	Logo / monogram	Logo标志	Brand logo / monogram design, geometric, memorable, flat vector or clean mark, ample negative space, professional identity system, no slogan text unless user asks.
moodboard	brand	品牌识别	16:9	Brand mood board	品牌情绪板	Brand mood board collage: color chips, textures, typography as abstract bars, lifestyle refs, design-agency aesthetic, cohesive palette.
mascot	brand	品牌识别	1:1	3D / brand mascot	吉祥物	Brand mascot character, cute but professional, soft studio lighting, product IP style, single character centered, clean background.
badge	brand	品牌识别	1:1	Badge / sticker set	徽章贴纸	UI achievement badge or sticker set, flat design, clean shapes, white or transparent-look background, gamefication asset style.
avatar	brand	品牌识别	1:1	Professional avatar	职业头像	Professional avatar / team directory portrait illustration, soft studio light, solid simple background, not a real celebrity likeness.
flowchart	diagram	结构图示	16:9	Flowchart / process	流程图	Professional process flowchart, left-to-right or top-down steps, clean arrows, rounded nodes, consulting-slide clarity, corporate palette, white background, minimal readable labels only if essential.
architecture	diagram	结构图示	16:9	System architecture	架构图	Isometric or clean technical architecture diagram: clients, gateway, services, databases, queues, cloud boundary, muted tech blues/grays, white background, no unreadable garble text.
mindmap	diagram	结构图示	1:1	Mind map	思维导图	Clean mind map, center hub with radiating branches, soft node colors, thin connectors, workshop whiteboard clarity, white background.
diagram	diagram	结构图示	16:9	Technical diagram	技术示意图	Technical diagram / schematic illustration, clear hierarchy, labeled blocks as icons, professional documentation style, white or light grid background.
infographic	diagram	结构图示	16:9	Infographic	信息图	Publication-ready infographic, strong layout hierarchy, icon headers, metric-friendly cards or steps, clean corporate or editorial style, white background, avoid dense fake paragraphs.
dataviz	diagram	结构图示	16:9	Data viz art	数据可视化	Abstract or semi-real data visualization aesthetic: charts, ribbons, constellation metrics, modern analytics look, no private real data, no tiny unreadable axes text.
ui	product	产品设计	16:9	UI dashboard mock	UI仪表盘	SaaS product UI mock dashboard, polished light or dark mode, cards charts KPIs, Figma-like quality, browser chrome subtle, no real PII or confidential metrics text.
wireframe	product	产品设计	9:16	Mobile wireframe	线框图	Low-fidelity mobile wireframe screens, gray boxes and lines, UX documentation style, multiple frames if useful, white background.
empty-state	product	产品设计	1:1	Empty state	空状态插画	Product empty-state illustration, friendly flat art, generous whitespace for UI copy, modern SaaS illustration, soft colors.
onboarding	product	产品设计	16:9	Onboarding hero	引导主视觉	Product onboarding hero illustration, people or abstract UI metaphors, modern SaaS, bright professional, room for headline, no real logos.
slide	marketing	市场内容	16:9	Slide / deck cover	PPT封面	Presentation title-slide background, premium consulting deck aesthetic, abstract geometry, leave space for title, no body text.
banner	marketing	市场内容	16:9	Ad / campaign banner	投放Banner	Digital marketing campaign banner, high contrast, bold composition, ad-creative quality, no brand wordmarks unless user provides.
email-header	marketing	市场内容	16:9	Email header	邮件头图	Email newsletter header graphic, wide hero, modern tech or lifestyle brand feel, no dense text.
cover	marketing	市场内容	16:9	Article cover	文章封面	Editorial article cover image, cinematic or clean graphic, strong focal subject, space for title, blog/WeChat header ready.
poster	marketing	市场内容	9:16	Vertical poster	竖版海报	Vertical poster / story creative, strong focal point, social-ready 9:16, minimal text areas, high visual impact.
xhs	social	社交种草	3:4	Xiaohongshu / 小红书 card	小红书图卡	Xiaohongshu (小红书) style image card: high engagement social infographic, bold title area, clean hierarchy, lifestyle or knowledge-share aesthetic, Chinese social feed friendly, punchy colors, avoid messy watermarks.
xhs-cover	social	社交种草	3:4	XHS cover	小红书封面	Xiaohongshu cover thumbnail, eye-catching subject, high contrast, scroll-stopping, 3:4 feed ratio, minimal clutter.
wechat	social	社交种草	16:9	WeChat article visual	微信配图	WeChat Official Account article illustration or header, clean Chinese content-platform aesthetic, readable composition, soft professional colors.
product	photo	影像与插画	1:1	Product catalog photo	商品摄影	Commercial product photography, seamless or lifestyle surface, studio softbox lighting, catalog-ready, high detail.
photo	photo	影像与插画	1:1	General photo	通用摄影	Photorealistic photograph, intentional lighting and composition, high detail, no watermark.
landscape	photo	影像与插画	16:9	Landscape / hero	风光头图	Cinematic landscape or wide hero photo, strong atmosphere, National Geographic or film still quality.
illustration	photo	影像与插画	1:1	Illustration	通用插画	High-quality illustration, coherent style, clean edges, publication ready.
storybook	photo	影像与插画	1:1	Storybook art	绘本插画	Children's storybook illustration, soft watercolor or gentle paint, pastel friendly, narrative charm.
food	photo	影像与插画	1:1	Food / lifestyle	美食生活	Food or lifestyle photography, appetizing light, shallow depth of field when appropriate, Instagram-quality.
