# id	group	status	use_when	intent_examples	modules	pattern_ids	kinds	min_assets	max_assets	anchor_role	approval_mode	deliverables	risk_level	guide
ui-flow	product	stable	A product flow needs related screens	Design onboarding flow;make a dashboard journey	discover,creative-brief,content-plan,plan-approval,anchor-generation,anchor-approval,series-consistency,delivery-package	ui-screen-system	ui;wireframe;onboarding	1	8	primary screen	plan-and-anchor	ordered screens;screen map;handoff notes	medium	ui-flow.md
xhs-note	social	stable	A Xiaohongshu note needs copy plus a coherent card set	Make a five-card XHS note;turn this article into a Xiaohongshu note	discover,source-analysis,content-plan,asset-plan,plan-approval,anchor-generation,anchor-approval,series-consistency,delivery-package	poster-layout;document-publishing	xhs;xhs-cover	2	10	cover card	plan-and-anchor	note copy;cover and cards;asset map	medium	xhs-note.md
wechat-article	publishing	stable	An existing WeChat article needs a header and optional section visuals	Add a WeChat cover;illustrate an existing 公众号 draft;visuals for wechat-mp-out	discover,source-analysis,content-plan,asset-plan,plan-approval,anchor-generation,anchor-approval,series-consistency,fact-check,delivery-package	document-publishing;infographic-explainer	wechat;cover;illustration;infographic	1	8	header visual	plan-and-anchor	header;optional section visuals;placement map	medium	wechat-article.md
article-illustrate	publishing	stable	An article needs planned and coordinated section visuals	Add visuals to this article;propose chapter illustrations before generating	discover,source-analysis,content-plan,asset-plan,plan-approval,anchor-generation,anchor-approval,series-consistency,fact-check,delivery-package	document-publishing;illustration-style	cover;illustration;infographic;diagram	2	8	cover or first illustration	plan-and-anchor	illustration plan;ordered images;captions and alt text	medium	article-illustrate.md
brand-starter	brand	stable	A new brand needs a visual direction starter	Create a brand identity direction;explore a logo system	discover,creative-brief,asset-plan,plan-approval,anchor-generation,anchor-approval,rights-check,delivery-package	brand-identity;brand-touchpoint	logo;icon;moodboard	3	6	identity board	plan-and-anchor	identity board;mark directions;palette notes	medium	brand-starter.md
product-launch	commerce	stable	A product launch needs coordinated visual assets	Prepare product launch imagery;make launch visuals	discover,creative-brief,content-plan,asset-plan,plan-approval,anchor-generation,anchor-approval,series-consistency,rights-check,delivery-package	product-commerce;poster-layout	product-photo;banner;cover;email-header	3	8	launch hero	plan-and-anchor	hero;channel variants;usage map	high	product-launch.md
campaign-kit	marketing	stable	A campaign needs reusable multi-channel creative	Build a campaign asset kit;make event campaign visuals	discover,creative-brief,content-plan,asset-plan,plan-approval,anchor-generation,anchor-approval,series-consistency,rights-check,delivery-package	poster-layout;sports-campaign;conceptual-typography	poster;banner;email-header;cover	3	10	key visual	plan-and-anchor	key visual;format variants;copy-safe map	medium	campaign-kit.md
knowledge-visual	knowledge	stable	A topic needs fact-grounded explanatory visuals	Turn this research into an infographic;explain a concept visually	discover,source-analysis,creative-brief,content-plan,asset-plan,plan-approval,anchor-generation,anchor-approval,fact-check,delivery-package	infographic-explainer;scientific-scale	infographic;diagram;flowchart;dataviz	1	5	explainer composition	plan-and-anchor	visuals;fact ledger;label map	high	knowledge-visual.md
deck-package	presentation	stable	A presentation needs a coordinated visual package	Create deck visuals;make a presentation package	discover,source-analysis,content-plan,asset-plan,plan-approval,anchor-generation,anchor-approval,series-consistency,fact-check,delivery-package	poster-layout;infographic-explainer;ui-screen-system	slide;infographic;flowchart;architecture;ui	4	12	title slide	plan-and-anchor	ordered slide visuals;page-role map;overlay copy	medium	deck-package.md
character-ip	character	stable	An original character needs a starter asset set	Create a mascot IP;design an original character	discover,creative-brief,asset-plan,plan-approval,anchor-generation,anchor-approval,series-consistency,rights-check,delivery-package	character-sheet;collectible-toy;scene-storytelling	mascot;illustration;storybook;product-photo	3	8	character sheet	plan-and-anchor	character sheet;poses;scene or toy concept	medium	character-ip.md
ecommerce-listing	commerce	guided	A listing needs accurate product image directions	Make ecommerce listing images;create catalog photos	discover,source-analysis,asset-plan,plan-approval,anchor-generation,anchor-approval,rights-check,delivery-package	product-commerce	product-photo;banner	3	7	catalog hero	plan-and-anchor	listing image set;claim checklist	high	ecommerce-listing.md
packaging-retail	commerce	guided	A packaging or retail concept needs visual exploration	Explore packaging;design a retail display	discover,creative-brief,asset-plan,plan-approval,anchor-generation,anchor-approval,rights-check,delivery-package	product-commerce;brand-touchpoint	product-photo;poster;banner	2	6	package hero	plan-and-anchor	concept renders;retail views;production caveats	high	packaging-retail.md
photography-direction	photo	guided	A photo shoot needs art direction rather than evidence	Create a photo art direction;plan a lifestyle shoot	discover,creative-brief,asset-plan,plan-approval,anchor-generation,anchor-approval,rights-check,delivery-package	realistic-photo;documentary-moment	photo;landscape;food;product-photo	2	6	mood anchor	plan-and-anchor	direction board;shot list;rights notes	medium	photography-direction.md
editorial-publication	publishing	guided	A publication needs an editorial visual system	Package a report;create magazine article visuals	discover,source-analysis,content-plan,asset-plan,plan-approval,anchor-generation,anchor-approval,series-consistency,fact-check,delivery-package	document-publishing;history-classical;illustration-style	cover;illustration;wechat;infographic	3	8	cover	plan-and-anchor	cover;section art;editorial map	medium	editorial-publication.md
education-module	knowledge	guided	A lesson needs clear visual learning aids	Create lesson visuals;make educational diagrams	discover,source-analysis,content-plan,asset-plan,plan-approval,anchor-generation,anchor-approval,fact-check,delivery-package	infographic-explainer;scientific-scale	infographic;diagram;flowchart;illustration	2	6	lesson overview	plan-and-anchor	lesson visuals;fact and label ledger	high	education-module.md
illustration-system	illustration	guided	A content series needs a reusable illustration language	Create an illustration system;make a coherent art series	discover,creative-brief,asset-plan,plan-approval,anchor-generation,anchor-approval,series-consistency,rights-check,delivery-package	illustration-style;scene-storytelling	illustration;storybook;empty-state	3	10	style anchor	plan-and-anchor	style board;anchor;series assets	medium	illustration-system.md
storyboard	narrative	guided	A narrative needs sequential scene planning	Make a storyboard;visualize a narrative sequence	discover,source-analysis,content-plan,asset-plan,plan-approval,anchor-generation,anchor-approval,series-consistency,delivery-package	scene-storytelling;character-sheet	illustration;storybook;photo	3	12	opening frame	plan-and-anchor	ordered frames;beat sheet	medium	storyboard.md
architecture-space	space	guided	A space concept needs experiential visualizations	Visualize an interior concept;make architecture concept views	discover,source-analysis,creative-brief,asset-plan,plan-approval,anchor-generation,anchor-approval,fact-check,delivery-package	architecture-space	architecture;photo;landscape	2	6	primary view	plan-and-anchor	concept views;assumptions;non-buildable notice	high	architecture-space.md
hospitality-exhibition	space	guided	A hospitality or exhibit experience needs a visual concept	Design a hotel experience;visualize an exhibition space	discover,creative-brief,content-plan,asset-plan,plan-approval,anchor-generation,anchor-approval,series-consistency,delivery-package	architecture-space;scene-storytelling	architecture;photo;poster	2	6	arrival view	plan-and-anchor	guest journey views;signage-safe plan	medium	hospitality-exhibition.md
travel-map	place	guided	A travel story needs an illustrative route and moments	Make a travel map;create destination story visuals	discover,source-analysis,content-plan,asset-plan,plan-approval,anchor-generation,anchor-approval,fact-check,delivery-package	nature-science;scene-storytelling	landscape;illustration;diagram	2	6	route overview	plan-and-anchor	map concept;destination moments;source notes	high	travel-map.md
document-report	publishing	guided	A report needs covers and explanatory visual aids	Visualize a report;make annual report graphics	discover,source-analysis,content-plan,asset-plan,plan-approval,anchor-generation,anchor-approval,fact-check,delivery-package	document-publishing;infographic-explainer	cover;infographic;diagram;dataviz	2	8	report cover	plan-and-anchor	cover;figures;fact ledger	high	document-report.md
product-rd	research	guided	A product R and D process needs clear communication	Explain our R and D process;make a product roadmap visual	discover,source-analysis,content-plan,asset-plan,plan-approval,anchor-generation,anchor-approval,fact-check,delivery-package	product-rd-breakdown;ui-screen-system	infographic;diagram;architecture;ui	2	6	process overview	plan-and-anchor	process visuals;approved scope notes	high	product-rd.md
speculative-design	research	guided	A future-facing concept needs explicit speculative framing	Visualize a future product;make speculative design concepts	discover,creative-brief,content-plan,asset-plan,plan-approval,anchor-generation,anchor-approval,rights-check,delivery-package	conceptual-typography;architecture-space;scene-storytelling	illustration;ui;architecture;cover	2	6	concept anchor	plan-and-anchor	concept views;assumptions;speculation label	medium	speculative-design.md
heritage-cultural	culture	expert-review	Cultural heritage visuals require subject expertise	Create a heritage visual;illustrate cultural history	discover,source-analysis,creative-brief,asset-plan,plan-approval,anchor-generation,anchor-approval,fact-check,rights-check,delivery-package	history-classical;nature-science	illustration;photo;cover	1	5	source-grounded anchor	expert-review	interpretive visuals;source ledger;review record	high	heritage-cultural.md
personalized-beauty	commerce	expert-review	Beauty personalization needs safety and privacy review	Make personalized beauty visuals;show cosmetic recommendations	discover,source-analysis,creative-brief,asset-plan,plan-approval,anchor-generation,anchor-approval,rights-check,fact-check,delivery-package	personalized-recommendation;product-commerce	ui;product-photo;banner	2	6	consent-safe hero	expert-review	concept assets;claims and privacy checklist	high	personalized-beauty.md
social-screen-mockup	product	expert-review	Social product screens need deception and privacy review	Mock up a social app;make clearly fictional social feed screens	discover,creative-brief,content-plan,asset-plan,plan-approval,anchor-generation,anchor-approval,rights-check,delivery-package	ui-screen-system;personalized-recommendation	ui;wireframe;onboarding	3	8	feed anchor	expert-review	screens;synthetic-data statement;policy notes	high	social-screen-mockup.md
signature-exploration	brand	expert-review	An original visual signature needs identity and originality review	Explore a non-legal signature mark;make a distinctive campaign look	discover,creative-brief,asset-plan,plan-approval,anchor-generation,anchor-approval,rights-check,delivery-package	illustration-style;conceptual-typography;brand-identity	illustration;poster;cover;moodboard	2	6	original style anchor	expert-review	originality-reviewed directions;non-authentication usage notes	medium	signature-exploration.md
