# id	layer	slash	kind_or_cat	ar	image	prompt_zh	highlight_zh
# layer: engine | category | kind
engine	engine	/tzai-image	(any)	1:1	icon-app.png	火花隐喻，AI 编程 App 图标	总入口：任意 kind / 自由主题，默认 gpt-image-2
brand	category	/tzai-brand	brand	1:1	icon-app.png	品牌识别：先出 App 图标概念，火花与代码感	分类路由：icon/logo/mascot/badge/avatar/moodboard
diagram	category	/tzai-diagram	diagram	16:9	architecture-isometric.png	结构图示总览：客户端网关微服务数据流	分类路由：flowchart/architecture/mindmap/infographic…
product	category	/tzai-product	product	16:9	ui-dashboard.png	产品设计：SaaS 仪表盘主视觉概念	分类路由：ui/wireframe/empty-state/onboarding
marketing	category	/tzai-marketing	marketing	16:9	slide-cover.png	市场内容：咨询风 PPT 封面底图	分类路由：slide/cover/banner/poster/email-header
social	category	/tzai-social	social	3:4	xhs-card.png	社交种草：小红书知识卡概念	分类路由：xhs / xhs-cover / wechat
photo	category	/tzai-photo	photo	1:1	product-cube.png	影像插画：电商商品棚拍概念	分类路由：product/photo/landscape/illustration/storybook/food
icon	kind	/tzai-icon	icon	1:1	icon-app.png	圆角方 App 图标，发光火花隐喻，扁平矢量，无文字	单一隐喻 + store-ready，禁止杂字
logo	kind	/tzai-logo	logo	16:9	logo-wordmark.png	几何 N monogram，靛蓝与电青绿，充足负空间	标志概念稿（非最终矢量）
flowchart	kind	/tzai-flowchart	flowchart	16:9	flowchart-process.png	注册 → 激活 → 付费，五步从左到右带箭头	职场流程一眼读懂
architecture	kind	/tzai-architecture	architecture	16:9	architecture-isometric.png	客户端 / 网关 / 微服务 / DB / 队列，等距技术风	系统分层与边界清晰
infographic	kind	/tzai-infographic	infographic	16:9	infographic-stats.png	Q1 增长四要素：获客 激活 留存 变现，四卡片指标墙	信息层级与指标卡
cover	kind	/tzai-cover	cover	16:9	cover-article.png	技术博客封面：深色渐变与抽象代码光轨，大面积标题留白	文章封面：情绪 + 留白叠字
slide	kind	/tzai-slide	slide	16:9	slide-cover.png	分享会开场页底图，咨询几何，中部留标题区	PPT 开场视觉，少正文
xhs	kind	/tzai-xhs	xhs	3:4	xhs-card.png	三步写好周报：列清单 写重点 加复盘，高对比知识卡	小红书图卡：吸睛层级
xhs-cover	kind	/tzai-xhs-cover	xhs-cover	3:4	xhs-cover.png	封面：职场干货 · 周报模板，大标题区强对比	信息流封面：停滑第一眼
wechat	kind	/tzai-wechat	wechat	16:9	wechat-visual.png	公众号配图：远程协作与灵感火花，柔和专业	微信头图/文内配图气质
ui	kind	/tzai-ui	ui	16:9	ui-dashboard.png	SaaS 数据分析仪表盘，卡片 KPI 图表，浅色模式	产品演示用 UI 示意
