# id	label_zh	direction
cute	甜美可爱	Cute Xiaohongshu aesthetic, soft rounded shapes, girly pastel accents, friendly cartoon-leaning icons, warm approachable mood.
fresh	清新自然	Fresh clean natural look, airy whitespace, soft greens and sky blues, light lifestyle knowledge-card feel.
warm	温暖亲和	Warm cozy friendly palette, cream paper feel, soft orange/amber accents, approachable hand-crafted social card.
bold	高对比吸睛	Bold high-impact social card, strong contrast, punchy title area, scroll-stopping color blocks, energetic.
minimal	极简高级	Ultra-minimal sophisticated card, large negative space, restrained palette, refined typography zones, calm luxury.
notion	Notion线稿	Notion-like minimal hand-drawn line art, thin black lines on cream/white, intellectual knowledge notes vibe.
chalkboard	黑板粉笔	Colorful chalk on dark chalkboard, educational classroom energy, playful lettering areas, high contrast.
study-notes	学习笔记	Handwritten study-notes photo style, blue pen + red marks + yellow highlighter cues, paper texture, student desk feel.
pop	潮流撞色	Pop vibrant energetic colors, graphic poster blocks, trendy Gen-Z social feed energy.
sketch-notes	手绘便签	Hand-drawn educational sketch-notes, wobble lines, macaron pastels on warm cream, sticky-note decorations.
