# id	category	status	use_when	compatible_kinds	required_inputs	prompt_blocks	pitfalls	text_policy	risk_level	reference_doc
ui-screen-system	product	stable	Designing a coherent UI screen set	ui;wireframe;onboarding	users;primary task;platform;states	product;screen role;information hierarchy;interaction state;visual system	Do not imply working functionality or expose PII	Use placeholder or externally layered copy	medium	product-systems.md
infographic-explainer	diagram	stable	Explaining a process, concept, or metric visually	infographic;diagram;flowchart	message;audience;facts;format	core claim;structure;visual metaphor;data;style	Do not force dense labels or unsupported metrics	Keep labels short; layer final copy externally	high	diagram-editorial.md
scientific-scale	diagram	stable	Showing scale, comparison, or scientific phenomena	infographic;diagram;dataviz	entities;units;verified ratios;audience	entities;scale reference;comparison;verified facts;rendering	Do not invent measurements or distort relative scale	Use only verified short labels	high	diagram-editorial.md
poster-layout	marketing	stable	Creating a campaign, event, or announcement poster	poster;banner;cover	message;audience;format;brand assets	message;focal image;layout zone;palette;finish	Do not rely on generated long copy or absent legal details	Reserve text zones; typeset final copy externally	medium	marketing-campaign.md
sports-campaign	marketing	stable	Creating energetic sports or fitness campaign visuals	poster;banner;photo	activity;talent rights;campaign message;brand	athlete action;moment;energy;brand palette;layout	Avoid unlicensed team marks and misleading endorsements	Use supplied names and final copy only	medium	marketing-campaign.md
conceptual-typography	marketing	stable	Making a type-led editorial or campaign key visual	poster;cover;slide	concept;display words;format;brand direction	concept;letterform treatment;composition;material;negative space	Generated lettering may be malformed	Use image as typographic direction; set production type externally	low	marketing-campaign.md
ink-double-exposure	photo	stable	Creating a poetic portrait or concept-led editorial image	photo;illustration;cover	subject consent;secondary motif;mood;format	primary silhouette;secondary scene;ink treatment;contrast;composition	Avoid recognizable people without permission and conflicting silhouettes	No essential text in image	medium	photo-illustration.md
nature-science	photo	stable	Illustrating natural history, ecology, or science stories	photo;landscape;illustration	verified subject;location;season;facts	organism or process;habitat;scale;lighting;scientific constraints	Do not fabricate species traits, locations, or research claims	Keep scientific labels external and verified	high	photo-illustration.md
product-commerce	commerce	stable	Producing product listing or commercial hero imagery	product-photo;banner;poster	product images;features;claims;market;format	product;angle;surface;lighting;benefit cue;composition	Do not alter product attributes or make unverified claims	Use final price, claims, and legal copy externally	high	commerce-product.md
personalized-recommendation	commerce	stable	Showing a personalized product or service recommendation	ui;onboarding;banner	user segment;recommendation logic;consent-safe data	user goal;recommendation moment;explanation cue;visual system	Do not expose personal data or imply sensitive inference	Use synthetic data and explanatory labels only	high	commerce-product.md
brand-identity	brand	stable	Establishing a logo, palette, and identity direction	logo;moodboard;icon	brand brief;audience;values;differentiators	brand idea;mark direction;palette;materials;application	Do not imitate protected marks or claim clearance	Avoid generated taglines; verify trademark separately	medium	brand-system.md
brand-touchpoint	brand	stable	Applying an approved identity across touchpoints	moodboard;banner;email-header;avatar	approved identity assets;touchpoints;audience	identity assets;touchpoint roles;layout rules;consistency	Do not substitute invented logos for approved assets	Apply supplied copy and marks in production tools	medium	brand-system.md
architecture-space	space	stable	Visualizing an architectural or interior spatial concept	architecture;photo;landscape	program;site;scale;constraints;references	space purpose;circulation;material;light;viewpoint	Do not present concept imagery as buildable documentation	No regulatory, dimensions, or safety claims in image	high	space-narrative.md
realistic-photo	photo	stable	Directing a polished photorealistic image	photo;landscape;food	subject;setting;usage rights;lighting intent	subject;environment;camera view;light;moment	Avoid real-person likenesses, false events, and deceptive evidence	No factual captions embedded	medium	photo-illustration.md
documentary-moment	photo	stable	Depicting an observational, human-centered story moment	photo;landscape	story context;consent;location;editorial constraints	people;action;environment;observational framing;mood	Never represent synthetic scenes as documentary evidence	Caption as illustration; do not fabricate reportage text	high	photo-illustration.md
illustration-style	illustration	stable	Defining a reusable editorial illustration system	illustration;storybook;empty-state	message;audience;style references;usage set	subject;style rules;palette;line or texture;composition	Avoid living-artist style imitation and inconsistent motifs	Keep essential text outside art	medium	photo-illustration.md
character-sheet	character	stable	Defining a repeatable character for narrative or IP work	illustration;mascot;storybook	character brief;audience;usage;rights	character role;silhouette;palette;expressions;turnaround	Avoid protected character resemblance and unsafe stereotypes	Use labels externally; do not depend on generated callouts	medium	character-world.md
collectible-toy	character	stable	Visualizing a collectible figure or toy concept	mascot;product-photo;illustration	character ownership;materials;audience;format	character;figure pose;materials;package context;lighting	Do not copy known toy brands or make child-safety claims	No packaging warnings or commercial copy in image	medium	character-world.md
scene-storytelling	story	stable	Creating a narrative scene with clear action and emotion	illustration;storybook;photo	story beat;characters;setting;audience	who;does what;where;emotion;camera framing	Avoid ambiguous action, harmful stereotypes, or false reportage	Keep dialogue and captions external	medium	character-world.md
history-classical	editorial	stable	Creating historical or classical culture visual interpretation	illustration;photo;cover	period;place;verified sources;interpretive intent	period;subject;material culture;composition;interpretive note	Do not present speculative details as verified history	Use sourced dates and labels externally	high	editorial-publishing.md
document-publishing	editorial	stable	Packaging a report, article, or publication visual system	cover;wechat;infographic;illustration	content outline;audience;format;brand	publication role;message;visual hierarchy;series system	Do not put dense body copy or citations into generated image	Typeset title, citations, and accessibility copy externally	medium	editorial-publishing.md
product-rd-breakdown	product	stable	Explaining product research and development stages	infographic;diagram;architecture;ui	verified stages;owners;dependencies;audience	stage model;inputs outputs;decision points;visual hierarchy	Do not reveal confidential plans or claim unverified timelines	Use approved short labels and external detailed text	high	product-systems.md
